Subject,Start Date,All Day Event,Description
"長跑 21km ([E] 5:12~5:46/km) 途中穿插 1km 計時 ([I] 3:38~3:45/km)",2026-03-01,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-02,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-03,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"坡道全速衝刺 (80~120m) x 10組 (每趟完全恢復 2-3分)",2026-03-04,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-05,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-06,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"坡道衝刺 x 10組 (完全恢復) + 有氧5km",2026-03-07,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"長跑 21km ([E] 5:12~5:46/km) 穿插 1km 計時",2026-03-08,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-08,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-09,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"坡道全速衝刺 x 10組 (完全恢復)",2026-03-10,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-11,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-12,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"法特萊克跑 (1分快 [T 3:58~4:03] / 1分慢 [E 5:12~5:46]) x 20組",2026-03-13,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"長跑 21km ([E] 5:12~5:46/km) 穿插 1km 計時",2026-03-14,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-15,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-16,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"坡道全速衝刺 x 10組 (完全恢復)",2026-03-17,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-18,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-19,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"坡道衝刺 x 10組 + 有氧5km",2026-03-20,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"長跑 21km ([E] 5:12~5:46/km) 穿插 1km 計時",2026-03-21,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-22,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
"有氧慢跑 10~14km ([E] 5:12~5:46/km)",2026-03-23,True,"4月:基礎期1 (坡道與有氧) | 目標: 3:0"
